,SalesPrice,Housing_Details,Broker,address
32,"C$2,149,900","6 bds4 ba4,271 sqft - House for sale","MLS® ID #R2866431, RE/MAX LIFESTYLES REALTY BROKERAGE","13409 236th St, Maple Ridge, BC V4R 0G6"
33,"C$2,149,000","6 bds6 ba4,371 sqft - House for sale","MLS® ID #R2865490, CENTURY 21 COASTAL REALTY LTD. BROKERAGE","10867 Morrisette Pl, Maple Ridge, BC V2W 1G8"
34,"C$3,580,000","7 bds7 ba4,057 sqft - House for sale","MLS® ID #R2866546, YPA YOUR PROPERTY AGENT BROKERAGE","1618 Coleman St, North Vancouver, BC V7K 1X1"
35,"C$2,199,888","9 bds8 ba4,830 sqft - House for sale","MLS® ID #R2866042, CENTURY 21 COASTAL REALTY LTD. BROKERAGE","9965 173b St, Surrey, BC V3S 4B1"
36,"C$1,989,055","5 bds6 ba3,820 sqft - House for sale","MLS® ID #R2866452, HOMELIFE BENCHMARK REALTY CORP. BROKERAGE","17418 1a Ave, Surrey, BC V3Z 9P9"
37,"C$1,599,000","4 bds4 ba1,619 sqft - Multi-family home for sale","MLS® ID #R2866229, NU STREAM REALTY INC. BROKERAGE","2858 E 4th Ave, Vancouver, BC V5M 1K8"
38,"C$1,850,000","3 bds3 ba1,385 sqft - House for sale","MLS® ID #R2866763, ROYAL PACIFIC REALTY (KINGSWAY) LTD. BROKERAGE","1421 E 27th Ave, Vancouver, BC V5N 2W5"
39,"C$6,888,000","7 bds7 ba3,855 sqft - House for sale","MLS® ID #R2866261, SUTTON GROUP-WEST COAST REALTY BROKERAGE","4089 W 19th Ave, Vancouver, BC V6S 1E2"
40,"C$1,998,800","3 bds3 ba1,991 sqft - House for sale","MLS® ID #R2866383, COLDWELL BANKER PRESTIGE REALTY BROKERAGE","2227 Alberta St, Vancouver, BC V5Y 3K5"
41,"C$7,380,000","6 bds8 ba6,578 sqft - House for sale","MLS® ID #R2866651, SUTTON GROUP-WEST COAST REALTY BROKERAGE","4698 Angus Dr, Vancouver, BC V6J 4J5"
